"","Year","Drug","Income","DDD/TID","DDD/TID - lower","DDD/TID - upper"
"68","2008","Pregabalin","UMIC","0.0583489888319783","0.0406169403649725","0.0838222787615586"
"69","2008","Pregabalin","LMIC","0.0374769097514635","0.0229936653157463","0.0610828567447881"
"70","2009","Pregabalin","HIC","0.66328473586841","0.573246623353143","0.767464862265752"
"71","2009","Pregabalin","UMIC","0.0943348936681632","0.0635051240424049","0.14013156099721"
"72","2009","Pregabalin","LMIC","0.0690784245974615","0.0488364252443226","0.0977104429940215"
"73","2010","Pregabalin","HIC","0.784820806241439","0.662618177695604","0.929560520134745"
"74","2010","Pregabalin","UMIC","0.0782378879492895","0.0554139919229035","0.110462482458976"
"75","2010","Pregabalin","LMIC","0.0903834770332993","0.0657045825168665","0.124331859479236"
"76","2011","Pregabalin","HIC","0.995987849898828","0.856774745717621","1.15782100500081"
"77","2011","Pregabalin","UMIC","0.0834107612322356","0.0578674446036702","0.120229174400069"
"78","2011","Pregabalin","LMIC","0.114817823323962","0.0845004616512196","0.156012550644595"
"79","2012","Pregabalin","HIC","0.981812260083369","0.855187602716916","1.12718579056519"
"80","2012","Pregabalin","UMIC","0.106443509657666","0.0708989398003279","0.159808041984138"
"81","2012","Pregabalin","LMIC","0.144650311565421","0.10195215409015","0.205230706724175"
"82","2013","Pregabalin","HIC","1.24609234382304","1.08780042095669","1.42741820964623"
"83","2013","Pregabalin","UMIC","0.142374751622252","0.0937340928257681","0.216256105845893"
"84","2013","Pregabalin","LMIC","0.167461165257242","0.112326888402788","0.249657426356852"
"85","2014","Pregabalin","HIC","1.44540385603851","1.25123925577606","1.66969849883363"
"86","2014","Pregabalin","UMIC","0.178594922468272","0.116020433363605","0.274918351937944"
"87","2014","Pregabalin","LMIC","0.191333238691317","0.122588458318473","0.298628506551598"
"88","2015","Pregabalin","HIC","1.60000158023677","1.36779565374627","1.87162830189474"
"89","2015","Pregabalin","UMIC","0.214954642603687","0.135676711406611","0.340555854411927"
"90","2015","Pregabalin","LMIC","0.225971365967774","0.135284660643806","0.377448987892182"
"91","2016","Pregabalin","HIC","1.89884688174826","1.60508289069235","2.24637587331694"
"92","2016","Pregabalin","UMIC","0.2463405371928","0.141499203049567","0.42886220527461"
"93","2016","Pregabalin","LMIC","0.26277320493178","0.139002321790861","0.496752545860418"
"94","2017","Pregabalin","HIC","2.14400119515506","1.80848171277152","2.5417680988224"
"95","2017","Pregabalin","UMIC","0.308706006263761","0.171280697504508","0.556393100283896"
"96","2017","Pregabalin","LMIC","0.350091321247006","0.151418474633467","0.809438435495801"
"97","2018","Pregabalin","HIC","2.36936957839479","2.00199895919329","2.8041534053968"
"98","2018","Pregabalin","UMIC","0.356538440633923","0.197443235418808","0.643828892795587"
"99","2018","Pregabalin","LMIC","0.530316008044031","0.167222739983816","1.68179918840568"
"100","2008","Gabapentinoids","HIC","1.07890479348241","0.844682687152067","1.3780743598806"
"101","2008","Gabapentinoids","UMIC","0.0961203643753598","0.0478233883831316","0.193192593833664"
"102","2008","Gabapentinoids","LMIC","0.0753347497143552","0.059399275027154","0.0955453498705179"
"103","2009","Gabapentinoids","HIC","1.27931004195071","1.00634531489404","1.62631470451896"
"104","2009","Gabapentinoids","UMIC","0.14502688381699","0.0716911950931388","0.293380477230735"
"105","2009","Gabapentinoids","LMIC","0.108093750478143","0.0847150600307596","0.137924223723485"
"106","2010","Gabapentinoids","HIC","1.53289528651791","1.19864390411814","1.96035532434262"
"107","2010","Gabapentinoids","UMIC","0.185207432314779","0.0932072753921778","0.368016260965743"
"108","2010","Gabapentinoids","LMIC","0.131532232167653","0.100010555643466","0.172989020885773"
"109","2011","Gabapentinoids","HIC","1.83010882572432","1.45254583015129","2.3058124876137"
"110","2011","Gabapentinoids","UMIC","0.188690772724719","0.0988048155002794","0.360348911449068"
"111","2011","Gabapentinoids","LMIC","0.159735583337055","0.119019316670858","0.214380802190211"
"112","2012","Gabapentinoids","HIC","2.03766802569086","1.65762307579313","2.50484627268852"
"113","2012","Gabapentinoids","UMIC","0.233978484096677","0.122420797581966","0.447194693234406"
"114","2012","Gabapentinoids","LMIC","0.193360537923078","0.136967626437158","0.272971786096157"
"115","2013","Gabapentinoids","HIC","2.39395409438244","1.94800854960802","2.94198719362069"
"116","2013","Gabapentinoids","UMIC","0.300770010793356","0.164664396346765","0.549375586949173"
"117","2013","Gabapentinoids","LMIC","0.224836796717474","0.152619765785219","0.331225676425919"
"118","2014","Gabapentinoids","HIC","2.7142792149385","2.22253304027963","3.31482660690626"
"119","2014","Gabapentinoids","UMIC","0.364306371411251","0.201262144548686","0.659434155133567"
"120","2014","Gabapentinoids","LMIC","0.251656390206552","0.163202974842156","0.388050149165746"
"121","2015","Gabapentinoids","HIC","3.00281206003084","2.43661789548125","3.70057212687661"
"122","2015","Gabapentinoids","UMIC","0.430674126342441","0.230992731396594","0.802969868269889"
"123","2015","Gabapentinoids","LMIC","0.291978334955533","0.179212283419353","0.475700361921727"
"124","2016","Gabapentinoids","HIC","3.41167883968027","2.76022248665424","4.21688924041439"
"125","2016","Gabapentinoids","UMIC","0.457873855181858","0.232457778744185","0.90187761576183"
"126","2016","Gabapentinoids","LMIC","0.337978283430837","0.186399852669023","0.612818725096765"
"127","2017","Gabapentinoids","HIC","3.78240218252644","3.0514949055912","4.68837953626174"
"128","2017","Gabapentinoids","UMIC","0.546891674583092","0.279845505169812","1.06877008278839"
"129","2017","Gabapentinoids","LMIC","0.415402441337334","0.193023001281964","0.893982515674111"
"130","2018","Gabapentinoids","HIC","3.9921757177673","3.23539599823178","4.92597103113222"
"131","2018","Gabapentinoids","UMIC","0.606148798175649","0.315098342540877","1.16603712532103"
"132","2018","Gabapentinoids","LMIC","0.611211553655606","0.212129981480229","1.76108799291494"
