"","Year","Drug","Country","DDD","Population","Class","Region","DDDPTPD","x","pt","rate","lower","upper","conf.level"
"30",2008,"Gabapentin","KUWAIT",28884,2656.01,"Gabapentinoids","Western Asia",0.0297740152091007,28884,970107.6525,0.0297740152091007,0.0294306495731894,0.030117380845012,0.95
"31",2008,"Gabapentin","LATVIA",263356,2171.248,"Gabapentinoids","Northern Europe",0.332080642973977,263356,793048.332,0.332080642973977,0.330812348665229,0.333348937282725,0.95
"32",2008,"Gabapentin","LEBANON",420519,4764.745,"Gabapentinoids","Western Asia",0.241632715948913,420519,1740323.11125,0.241632715948913,0.240902399613421,0.242363032284406,0.95
"33",2008,"Gabapentin","LITHUANIA",253615,3212.867,"Gabapentinoids","Northern Europe",0.216118509536345,253615,1173499.67175,0.216118509536345,0.215277399942442,0.216959619130248,0.95
"34",2008,"Gabapentin","LUXEMBOURG",151610,485.403,"Gabapentinoids","Western Europe",0.855135954736781,151610,177293.44575,0.855135954736781,0.850831488217616,0.859440421255947,0.95
"35",2008,"Gabapentin","MEXICO",2883990,110815.272,"Gabapentinoids","Central and South America and the Caribbean",0.0712531237714339,2883990,40475278.098,0.0712531237714339,0.0711708890691048,0.071335358473763,0.95
"36",2008,"Gabapentin","MOROCCO",84840,31536.807,"Gabapentinoids","Northern Africa",0.00736533856392905,84840,11518818.75675,0.00736533856392904,0.00731577751652271,0.00741489961133538,0.95
"37",2008,"Gabapentin","NETHERLANDS",0,16568.105,"Gabapentinoids","Western Europe",0,0,6051500.35125,0,0,0,0.95
"38",2008,"Gabapentin","NEW ZEALAND",1479288,4278.156,"Gabapentinoids","Australia and New Zealand",0.946685865404411,1479288,1562596.479,0.946685865404411,0.945160311292667,0.948211419516154,0.95
"39",2008,"Gabapentin","NORWAY",1853806,4771.014,"Gabapentinoids","Northern Europe",1.06380828400215,1853806,1742612.8635,1.06380828400215,1.0622769168854,1.06533965111889,0.95
