"","Year","Drug","DDD/TID","DDD/TID - lower","DDD/TID - upper","Area"
"Year38",2010,"Gabapentin",0.913581075925427,0.724564272100468,1.15190662088474,"Western Europe"
"Year39",2010,"Gabapentin",1.07961630224699,0.655011850015147,1.77946606622539,"Australia and New Zealand"
"Year310",2010,"Gabapentin",0.0928967635382683,0.0172488479665989,0.500312176940507,"Eastern Asia"
"Year318",2010,"Gabapentin",0,0,0,"Central Asia"
"Year320",2010,"Gabapentin",0.070649918330401,0.012333612562667,0.404699834272482,"South-eastern Asia"
"Year330",2010,"Gabapentin",0.0225433432511213,0.00593000322903897,0.0857001767636869,"Southern Asia"
"Year340",2010,"Gabapentin",0.173229199473434,0.0433179255987487,0.692746827910745,"Western Asia"
"Year341",2010,"Gabapentin",0.0374577954884551,0.0133176951861093,0.105355050047877,"Northern Africa"
"Year342",2010,"Gabapentin",0.0456052882794154,0.0455086178591527,0.0457021640491393,"Southern Africa"
"Year4",2011,"Gabapentin",4.42919085851081,2.0511916277425,9.56406578292571,"Northern America"
"Year41",2011,"Gabapentin",0.116203594591388,0.0276063406211491,0.489136737870101,"Central and South America and the Caribbean"
"Year42",2011,"Gabapentin",0.862565895695015,0.57043181686742,1.3043100023803,"Northern Europe"
"Year43",2011,"Gabapentin",0.199149808183497,0.0873698975342656,0.453939482806067,"Eastern Europe"
"Year44",2011,"Gabapentin",0.354450939270171,0.207850403127312,0.60445140571872,"Southern Europe"
"Year45",2011,"Gabapentin",0.883672356979007,0.677898943795868,1.15190743640393,"Western Europe"
"Year46",2011,"Gabapentin",1.18004021424014,0.644674925553544,2.15999545201522,"Australia and New Zealand"
"Year47",2011,"Gabapentin",0.101079037795022,0.0161714864297218,0.631789287024943,"Eastern Asia"
"Year48",2011,"Gabapentin",0.0188585273926454,0.0187491744625537,0.0189685181141953,"Central Asia"
"Year49",2011,"Gabapentin",0.0843774534348289,0.00966342156768279,0.736752981154885,"South-eastern Asia"
"Year410",2011,"Gabapentin",0.0251060333921691,0.00748874551556286,0.0841680240540707,"Southern Asia"
"Year411",2011,"Gabapentin",0.191850578738876,0.045648717955452,0.806301824256287,"Western Asia"
"Year412",2011,"Gabapentin",0.0473550653348601,0.0169960872232655,0.131942263146259,"Northern Africa"
"Year413",2011,"Gabapentin",0.050251987852869,0.0501512767706938,0.0503529011775937,"Southern Africa"
"Year5",2012,"Gabapentin",4.58399554474407,2.41344363563111,8.70665253748039,"Northern America"
"Year51",2012,"Gabapentin",0.122172518009758,0.0287352325997294,0.51943634369555,"Central and South America and the Caribbean"
"Year52",2012,"Gabapentin",0.994811372886365,0.637794315522877,1.55167527138074,"Northern Europe"
"Year53",2012,"Gabapentin",0.225719037472867,0.0978917919938303,0.520463287472445,"Eastern Europe"
"Year54",2012,"Gabapentin",0.390774077188385,0.228698097918173,0.667711628529025,"Southern Europe"
"Year55",2012,"Gabapentin",0.916987499313383,0.699149278880225,1.20269890751195,"Western Europe"
"Year56",2012,"Gabapentin",1.33574482656644,0.679256467644716,2.62671660364999,"Australia and New Zealand"
"Year57",2012,"Gabapentin",0.112458301225533,0.0153796501330133,0.822311912504785,"Eastern Asia"
"Year58",2012,"Gabapentin",0.0218338050010723,0.0217170351355818,0.0219512027239752,"Central Asia"
"Year59",2012,"Gabapentin",0.0888687459640018,0.00846158466507347,0.933354013677026,"South-eastern Asia"
"Year510",2012,"Gabapentin",0.0261029932201045,0.00826319570840222,0.0824579592561256,"Southern Asia"
"Year511",2012,"Gabapentin",0.166693429519029,0.033392803221948,0.832116407242868,"Western Asia"
"Year512",2012,"Gabapentin",0.0575871511920736,0.0242473558861398,0.13676872637129,"Northern Africa"
"Year513",2012,"Gabapentin",0.0532056875390639,0.0531028713846373,0.053308702762982,"Southern Africa"
"Year6",2013,"Gabapentin",5.19331981110346,2.62732736848491,10.265401633582,"Northern America"
"Year61",2013,"Gabapentin",0.121009562500091,0.0296495416143873,0.493879952914953,"Central and South America and the Caribbean"
"Year62",2013,"Gabapentin",1.1793646732528,0.748018292787403,1.85944788506929,"Northern Europe"
"Year63",2013,"Gabapentin",0.286897791118832,0.128494636489104,0.640574150002323,"Eastern Europe"
"Year64",2013,"Gabapentin",0.415507161565138,0.243947106392601,0.70771981625421,"Southern Europe"
"Year65",2013,"Gabapentin",0.968695955961278,0.739706925152433,1.26857248889803,"Western Europe"
"Year66",2013,"Gabapentin",1.29518280760597,0.485082679029303,3.45817028238345,"Australia and New Zealand"
"Year67",2013,"Gabapentin",0.118250349763414,0.0156750476006065,0.892063971699111,"Eastern Asia"
"Year68",2013,"Gabapentin",0.0202672880282256,0.0201557047498525,0.0203794890388073,"Central Asia"
"Year69",2013,"Gabapentin",0.120051818647067,0.00955888952872733,1.50775245567538,"South-eastern Asia"
"Year610",2013,"Gabapentin",0.0265348890921939,0.00944098330779024,0.0745791318743295,"Southern Asia"
"Year611",2013,"Gabapentin",0.180862339355065,0.0349288831271307,0.936508209493207,"Western Asia"
"Year612",2013,"Gabapentin",0.0690837319363904,0.0322392185297976,0.148035908930234,"Northern Africa"
"Year613",2013,"Gabapentin",0.0572342429877426,0.0571284529689919,0.0573402289076159,"Southern Africa"
"Year7",2014,"Gabapentin",5.53795141975783,2.74599723197141,11.1685858858568,"Northern America"
"Year71",2014,"Gabapentin",0.122232259689482,0.0285979163902188,0.522441044477877,"Central and South America and the Caribbean"
"Year72",2014,"Gabapentin",1.34342646797555,0.843428758357614,2.13983061043792,"Northern Europe"
"Year73",2014,"Gabapentin",0.34986354661812,0.158446984664602,0.77252654262442,"Eastern Europe"
"Year74",2014,"Gabapentin",0.422937911797316,0.24934624710907,0.717381870829717,"Southern Europe"
"Year75",2014,"Gabapentin",1.01656086986129,0.785157931889949,1.31616323310351,"Western Europe"
"Year76",2014,"Gabapentin",1.25483475806909,0.341406381946387,4.61212898564262,"Australia and New Zealand"
"Year77",2014,"Gabapentin",0.126540880962879,0.0160791999518908,0.995857667220474,"Eastern Asia"
"Year78",2014,"Gabapentin",0.0271759391619725,0.0270477161426874,0.0273047700382237,"Central Asia"
"Year79",2014,"Gabapentin",0.114931759137394,0.00681385672857795,1.93859509886887,"South-eastern Asia"
"Year710",2014,"Gabapentin",0.0278104890129557,0.0122339564937883,0.0632193926414918,"Southern Asia"
"Year711",2014,"Gabapentin",0.210993543998276,0.0416890247108658,1.06786560534119,"Western Asia"
"Year712",2014,"Gabapentin",0.0349684572243084,0.0147438209685894,0.082935963699868,"Northern Africa"
"Year713",2014,"Gabapentin",0.0581419383943862,0.0580361522958853,0.0582479173157776,"Southern Africa"
"Year8",2015,"Gabapentin",6.18278864329976,2.83561891359773,13.4809636176448,"Northern America"
"Year81",2015,"Gabapentin",0.128075229645821,0.0241953159066075,0.677952067753335,"Central and South America and the Caribbean"
"Year82",2015,"Gabapentin",1.55472973453196,0.986778478758999,2.44957161051763,"Northern Europe"
"Year83",2015,"Gabapentin",0.415186357460177,0.189425862406617,0.910011490675037,"Eastern Europe"
"Year84",2015,"Gabapentin",0.4503331928797,0.263616238732184,0.769300046099421,"Southern Europe"
"Year85",2015,"Gabapentin",1.04033499294817,0.812841988784076,1.33149728051263,"Western Europe"
"Year86",2015,"Gabapentin",1.36217097967094,0.320671255778797,5.78633021956185,"Australia and New Zealand"
"Year87",2015,"Gabapentin",0.134724494977342,0.0177356595591918,1.02340087699152,"Eastern Asia"
"Year88",2015,"Gabapentin",0.0260689303300537,0.0259443162511059,0.0261941429473682,"Central Asia"
"Year89",2015,"Gabapentin",0.118207623893128,0.00676626020979789,2.06510567332681,"South-eastern Asia"
"Year810",2015,"Gabapentin",0.0279733011296428,0.0140255267939801,0.0557915283742164,"Southern Asia"
"Year811",2015,"Gabapentin",0.243687824189446,0.0563792847774941,1.05329033336534,"Western Asia"
