"","Year","Drug","DDD/TID","DDD/TID - lower","DDD/TID - upper","Area"
"1",2008,"Gabapentin",0.217336145024579,0.15334413425783,0.308032649326674,"Multinational"
"2",2009,"Gabapentin",0.236967031543346,0.166037841161367,0.338196242770294,"Multinational"
"3",2010,"Gabapentin",0.260277192854677,0.179540352083746,0.377320286688042,"Multinational"
"4",2011,"Gabapentin",0.230300976752219,0.162086865182332,0.327222935882945,"Multinational"
"5",2012,"Gabapentin",0.252644142052757,0.179059565847412,0.356468319419285,"Multinational"
"6",2013,"Gabapentin",0.278176715226481,0.195433694150568,0.39595160512382,"Multinational"
"7",2014,"Gabapentin",0.282477506156382,0.197775987168213,0.403454143381233,"Multinational"
"8",2015,"Gabapentin",0.318476899167169,0.219364847510882,0.46236913732545,"Multinational"
"9",2016,"Gabapentin",0.340983382557923,0.232426486933176,0.500242759398034,"Multinational"
"10",2017,"Gabapentin",0.367135193832416,0.248013023325282,0.543472470691928,"Multinational"
"11",2018,"Gabapentin",0.386603230283216,0.26027097128363,0.574255580360292,"Multinational"
"12",2008,"Gabapentin Enacarbil",0,0,0,"Multinational"
"13",2009,"Gabapentin Enacarbil",0,0,0,"Multinational"
"14",2010,"Gabapentin Enacarbil",0,0,0,"Multinational"
"15",2011,"Gabapentin Enacarbil",0.00375559917515846,0.00374435686792398,0.00376687523704732,"Multinational"
"16",2012,"Gabapentin Enacarbil",0.00195145331636815,0.0012814281704959,0.00297181701920175,"Multinational"
"17",2013,"Gabapentin Enacarbil",0.00335657096396544,0.00187293151336976,0.00601547283267457,"Multinational"
"18",2014,"Gabapentin Enacarbil",0.0271862920345578,0.0173837089751809,0.0425165006871365,"Multinational"
"19",2015,"Gabapentin Enacarbil",0.0121601882572361,0.0108347413217543,0.0136477811569459,"Multinational"
"20",2016,"Gabapentin Enacarbil",0.0444677461943283,0.0380405046344717,0.0519809206161616,"Multinational"
"21",2017,"Gabapentin Enacarbil",0.0470093365396336,0.0401917741372139,0.0549833335137696,"Multinational"
"22",2018,"Gabapentin Enacarbil",0.0456240447205057,0.042640812374494,0.0488159896762147,"Multinational"
"23",2008,"Pregabalin",0.204665793536557,0.151735011767324,0.276060788845367,"Multinational"
"24",2009,"Pregabalin",0.293635990774618,0.218905870278553,0.393877491583372,"Multinational"
"25",2010,"Pregabalin",0.369000360011802,0.275282336615601,0.494624055298442,"Multinational"
"26",2011,"Pregabalin",0.343156574036109,0.262557659075509,0.448497426122824,"Multinational"
"27",2012,"Pregabalin",0.41049962989207,0.31669648048308,0.5320865766632,"Multinational"
"28",2013,"Pregabalin",0.512247008473232,0.398667301533844,0.658185400910037,"Multinational"
"29",2014,"Pregabalin",0.604846061093935,0.4718187753734,0.775379821058034,"Multinational"
"30",2015,"Pregabalin",0.694099549795628,0.539351686614195,0.893246831303807,"Multinational"
"31",2016,"Pregabalin",0.812520096765443,0.627849165777901,1.05150877572602,"Multinational"
"32",2017,"Pregabalin",0.968117766150952,0.751995611167979,1.24635303081277,"Multinational"
"33",2018,"Pregabalin",1.10955827011323,0.866602637373322,1.4206275190994,"Multinational"
"34",2008,"Gabapentinoids",0.447188347689909,0.323184222843325,0.61877221774708,"Multinational"
"35",2009,"Gabapentinoids",0.578208923319622,0.418457714848571,0.798947055205855,"Multinational"
