"","Drug","Region","Country","expcoef","explower","expupper","p-value"
"52","Gabapentin","Northern Europe","ESTONIA",31.06261658184,24.741193884536,37.7043856192229,0.000000590718508486287
"53","Gabapentinoids","Northern Europe","ESTONIA",29.9700087113453,27.7495942332108,32.2290161923327,0.000000000072938460512122
"54","Pregabalin","Northern Europe","ESTONIA",29.2960262022187,25.8581394520305,32.8278207867241,0.00000000466252455573924
"55","Gabapentin","Northern Europe","FINLAND",13.4553073637628,11.0835119081636,15.877744121447,0.00000027762678675446
"56","Gabapentinoids","Northern Europe","FINLAND",5.73335579300869,4.60727389840696,6.87155979333109,0.000000902301895017366
"57","Pregabalin","Northern Europe","FINLAND",3.08647731040783,1.0668706281225,5.14644154137138,0.00698823158830449
"58","Gabapentin","Western Europe","FRANCE",0.336034748991643,-0.668270581134778,1.35049422827083,0.469901747652787
"59","Gabapentinoids","Western Europe","FRANCE",5.39484870852107,4.72285072007206,6.07115885323184,0.0000000173460140434968
"60","Pregabalin","Western Europe","FRANCE",7.52042734180152,6.05531050388743,9.00578425386691,0.000000794745102544976
"61","Gabapentin","Western Europe","GERMANY",3.02958511597515,1.91788705245493,4.15340933929103,0.000154463697132154
"62","Gabapentinoids","Western Europe","GERMANY",6.93007508294048,5.82857302724846,8.04304197033141,0.000000139404452424473
"63","Pregabalin","Western Europe","GERMANY",9.22386141824081,7.90421922520252,10.5596425123355,0.0000000513183488451543
"64","Gabapentin","Southern Europe","GREECE",2.69095220172755,1.65569923125684,3.7367481001499,0.000221160217695585
"65","Gabapentinoids","Southern Europe","GREECE",6.43928180633102,5.24098478800603,7.65122289827447,0.000000555222760763627
"66","Pregabalin","Southern Europe","GREECE",7.94621466175023,6.01506250211175,9.91254435725637,0.00000509992811986662
"67","Gabapentin","Eastern Europe","HUNGARY",13.2546955424943,10.844060826912,15.7177567001306,0.000000366640708958257
"68","Gabapentinoids","Eastern Europe","HUNGARY",11.4319044226976,9.04969432586396,13.866154325608,0.00000125318526424751
"69","Pregabalin","Eastern Europe","HUNGARY",10.4655039230028,7.95905556284104,13.0301436349637,0.00000419554625384645
"70","Gabapentin","Southern Asia","INDIA",14.0101696951271,12.7962950911418,15.237107596564,0.000000000504066907822803
"71","Gabapentinoids","Southern Asia","INDIA",14.8324419532352,12.6293523036906,17.0786252005378,0.0000000592763500410512
"72","Pregabalin","Southern Asia","INDIA",15.1420752439271,12.0414006673167,18.3285590193941,0.000000966132141592457
"73","Gabapentin","Northern Europe","IRELAND",3.67301026085753,2.53155028139569,4.82717784964686,0.0000423432845737244
"74","Gabapentinoids","Northern Europe","IRELAND",13.7452839328585,10.3250275458752,17.2715738646587,0.0000052755516773502
"75","Pregabalin","Northern Europe","IRELAND",16.2638318580179,11.797104836705,20.9090219111961,0.0000112425719212391
"76","Gabapentin","Southern Europe","ITALY",0.38301203668325,-0.208475418880893,0.978005375252566,0.17741137406536
"77","Gabapentinoids","Southern Europe","ITALY",6.63754460857511,5.6388093819137,7.64572212314956,0.0000000872628829216998
"78","Pregabalin","Southern Europe","ITALY",9.04809633022698,7.23494154107192,10.8919083868938,0.000000964479456068523
"79","Gabapentin","Eastern Asia","JAPAN",-5.57118723932946,-9.1201178734477,-1.88366808208522,0.00806124891411172
"80","Gabapentin Enacarbil","Eastern Asia","JAPAN",29.1326779442719,6.18174763310764,57.0443968456559,0.0201405952274278
"81","Gabapentinoids","Eastern Asia","JAPAN",45.7866630929749,28.560110513439,65.3215064214093,0.0000807093366563742
"82","Pregabalin","Eastern Asia","JAPAN",38.2448978864821,13.4287347526006,68.4903903171297,0.00612720480624242
"83","Gabapentin","Western Asia","JORDAN",6.54841793100653,-1.69160228189342,15.479100739219,0.108318710902847
"84","Gabapentinoids","Western Asia","JORDAN",24.0929285512129,17.9906807386452,30.5107727153982,0.00000467201104552898
"85","Pregabalin","Western Asia","JORDAN",33.2341908452499,20.2638582754504,47.6033603506306,0.000134836942179304
"86","Gabapentin","Central Asia","KAZAKHSTAN",3.92789242134868,-0.0680999406901028,8.08367314874421,0.0529765425451211
"87","Gabapentinoids","Central Asia","KAZAKHSTAN",18.3710742746648,11.1587553818521,26.0513504024513,0.000598704075482491
"88","Pregabalin","Central Asia","KAZAKHSTAN",30.2604575998709,16.8833717888719,45.1685261508106,0.000990428993399164
"89","Gabapentin","Western Asia","KUWAIT",50.0693775467945,32.0568925666393,70.5387552256522,0.0000518556436625569
"90","Gabapentinoids","Western Asia","KUWAIT",40.643225950455,34.358787298504,47.2216101638704,0.00000004034424349917
"91","Pregabalin","Western Asia","KUWAIT",37.9330363371432,31.5023803967637,44.6781606217364,0.0000000983964891459814
"92","Gabapentin","Northern Europe","LATVIA",23.0352792133442,20.620966065277,25.4979165306424,0.00000000205098770666445
"93","Gabapentinoids","Northern Europe","LATVIA",21.0180366779882,19.5272821769453,22.5273839968539,0.0000000000657124044595795
"94","Pregabalin","Northern Europe","LATVIA",9.04307348468545,1.36706857343478,17.3003426292493,0.0250844796227729
"95","Gabapentin","Western Asia","LEBANON",5.26501150254894,2.13510314142242,8.49083523505847,0.00393360907476355
"96","Gabapentinoids","Western Asia","LEBANON",13.0184076672366,10.9259169402099,15.1503708418523,0.000000125724903595762
"97","Pregabalin","Western Asia","LEBANON",19.9931216479946,16.6183943801778,23.4655074729601,0.000000155685371773112
"98","Gabapentin","Northern Europe","LITHUANIA",10.9668955398132,9.01428560606887,12.9544796563646,0.000000327542094733183
"99","Gabapentinoids","Northern Europe","LITHUANIA",19.4867605519933,16.9629178948425,22.0650630488327,0.0000000151901099033883
"100","Pregabalin","Northern Europe","LITHUANIA",26.2145269871129,19.9337792549654,32.824187827143,0.00000275602669605275
"101","Gabapentin","Western Europe","LUXEMBOURG",-2.5496780163752,-3.20319252048638,-1.89175137080807,0.0000114370266662144
"102","Gabapentinoids","Western Europe","LUXEMBOURG",3.1139674591788,2.36688017607887,3.86650708592355,0.00000528986684889635
"103","Pregabalin","Western Europe","LUXEMBOURG",4.49071749643406,3.37600660259512,5.6174483977939,0.00000672866219246192
"104","Gabapentin","Central and South America and the Caribbean","MEXICO",4.00823433885258,3.25901913631814,4.76288561297091,0.000000624972148602945
"105","Gabapentinoids","Central and South America and the Caribbean","MEXICO",3.83931918290623,1.93013678860139,5.78426114282691,0.00130413518825856
"106","Pregabalin","Central and South America and the Caribbean","MEXICO",3.76420316738046,0.976824236715768,6.62852531112246,0.013359945539285
"107","Gabapentin","Northern Africa","MOROCCO",26.9403349241836,17.8765471048275,36.7010573895916,0.0000464105681759627
"108","Gabapentinoids","Northern Africa","MOROCCO",20.5214929680004,17.9406370009427,23.1588249529266,0.000000011316939289385
"109","Pregabalin","Northern Africa","MOROCCO",18.3854167812209,12.7520924234062,24.3001935062446,0.0000262390462457247
"110","Gabapentin","Western Europe","NETHERLANDS",3.51054403039126,2.76243595329533,4.26409831640415,0.0000242282423534491
"111","Gabapentinoids","Western Europe","NETHERLANDS",6.77892369909878,5.39122186542587,8.1848976084256,0.0000178591715291821
"112","Pregabalin","Western Europe","NETHERLANDS",7.74251104810799,5.75422928978739,9.7681744258401,0.0000651116889329559
"113","Gabapentin","Australia and New Zealand","NEW ZEALAND",15.404473343143,14.4821721050115,16.3342049047757,0.0000000000173954958193409
"114","Gabapentinoids","Australia and New Zealand","NEW ZEALAND",16.608835483474,15.7712437139916,17.4524871340616,0.0000000000035577302807642
"115","Pregabalin","Australia and New Zealand","NEW ZEALAND",34.6947540568294,20.3169939577991,50.7906420666831,0.000210417231034031
