"","Year","Drug","Country","DDD","Population","Class","Region","DDDPTPD"
"57",2008,"Gabapentin","TAIWAN",1471366,23019.042,"Gabapentinoids","Eastern Asia",0.175002094407726
"58",2008,"Gabapentin","THAILAND",0,66530.98,"Gabapentinoids","South-eastern Asia",0
"59",2008,"Gabapentin","TUNISIA",245597,10414.425,"Gabapentinoids","Northern Africa",0.0645650566178433
"60",2008,"Gabapentin","TÜRKIYE",30394128,70418.612,"Gabapentinoids","Western Asia",1.1817129719767
"61",2008,"Gabapentin","UNITED ARAB EMIRATES",259117,7089.486,"Gabapentinoids","Western Asia",0.100067012250156
"62",2008,"Gabapentin","UNITED KINGDOM",38291888,62145.098,"Gabapentinoids","Northern Europe",1.68697900680073
"63",2008,"Gabapentin","UNITED STATES",496158272,303486.022,"Gabapentinoids","Northern America",4.47601278828355
"64",2008,"Gabapentin","URUGUAY",238704,3340.221,"Gabapentinoids","Central and South America and the Caribbean",0.195656495271295
"65",2008,"Gabapentin","VENEZUELA",4538485,27635.827,"Gabapentinoids","Central and South America and the Caribbean",0.449622684699728
"66",2008,"Gabapentin Enacarbil","JAPAN",0,128538.644,"Gabapentinoids","Eastern Asia",0
"67",2008,"Gabapentin Enacarbil","PUERTO RICO",0,3608.03,"Gabapentinoids","Central and South America and the Caribbean",0
"68",2008,"Gabapentin Enacarbil","UNITED STATES",0,303486.022,"Gabapentinoids","Northern America",0
"69",2008,"Pregabalin","ALGERIA",899628,34730.604,"Gabapentinoids","Northern Africa",0.0709186407448047
"70",2008,"Pregabalin","ARGENTINA",1556305,40080.159,"Gabapentinoids","Central and South America and the Caribbean",0.106310228691149
"71",2008,"Pregabalin","AUSTRALIA",4112052,21332.293,"Gabapentinoids","Australia and New Zealand",0.52775314894316
"72",2008,"Pregabalin","AUSTRIA",2296639,8341.525,"Gabapentinoids","Western Europe",0.753801600295903
"73",2008,"Pregabalin","BELARUS",2553,9452.855,"Gabapentinoids","Eastern Europe",0.000739430897813227
"74",2008,"Pregabalin","BELGIUM",3749126,10778.764,"Gabapentinoids","Western Europe",0.952293562616032
"75",2008,"Pregabalin","BOSNIA AND HERZEGOVINA",0,3754.261,"Gabapentinoids","Southern Europe",0
"76",2008,"Pregabalin","BRAZIL",0,192030.362,"Gabapentinoids","Central and South America and the Caribbean",0
"77",2008,"Pregabalin","BULGARIA",51226,7524.084,"Gabapentinoids","Eastern Europe",0.0186400290615614
"78",2008,"Pregabalin","CANADA",19954160,33337.638,"Gabapentinoids","Northern America",1.63873375379983
"79",2008,"Pregabalin","CHILE",1030444,16708.255,"Gabapentinoids","Central and South America and the Caribbean",0.168850781634321
"80",2008,"Pregabalin","CHINA",0,1353569.48,"Gabapentinoids","Eastern Asia",0
"81",2008,"Pregabalin","COLOMBIA",866397,44254.972,"Gabapentinoids","Central and South America and the Caribbean",0.0535999821312482
"82",2008,"Pregabalin","CROATIA",37114,4352.639,"Gabapentinoids","Southern Europe",0.0233450543712954
"83",2008,"Pregabalin","CZECH REPUBLIC",1623159,10425.267,"Gabapentinoids","Eastern Europe",0.426268904747529
"84",2008,"Pregabalin","ECUADOR",647737,14535.74,"Gabapentinoids","Central and South America and the Caribbean",0.122003231710569
"85",2008,"Pregabalin","EGYPT",887595,79636.081,"Gabapentinoids","Northern Africa",0.030515096158543
"86",2008,"Pregabalin","ESTONIA",61968,1340.067,"Gabapentinoids","Northern Europe",0.126604966450933
"87",2008,"Pregabalin","FINLAND",6599139,5319.452,"Gabapentinoids","Northern Europe",3.39648856790965
"88",2008,"Pregabalin","FRANCE",49244552,62209.207,"Gabapentinoids","Western Europe",2.1672714049412
"89",2008,"Pregabalin","GERMANY",46053366,81065.751,"Gabapentinoids","Western Europe",1.55537008906736
"90",2008,"Pregabalin","GREECE",5705741,11040.312,"Gabapentinoids","Southern Europe",1.4149480094423
"91",2008,"Pregabalin","HUNGARY",1807750,9991.867,"Gabapentinoids","Eastern Europe",0.495337834304445
"92",2008,"Pregabalin","INDIA",36586805,1200669.762,"Gabapentinoids","Southern Asia",0.0834277800925403
"93",2008,"Pregabalin","IRELAND",3150636,4415.871,"Gabapentinoids","Northern Europe",1.95340200213429
"94",2008,"Pregabalin","ITALY",19818187,58922.116,"Gabapentinoids","Southern Europe",0.920863719108139
"95",2008,"Pregabalin","JAPAN",0,128538.644,"Gabapentinoids","Eastern Asia",0
"96",2008,"Pregabalin","JORDAN",122185,6556.473,"Gabapentinoids","Western Asia",0.0510219897841013
"97",2008,"Pregabalin","KAZAKHSTAN",0,15862.126,"Gabapentinoids","Central Asia",0
"98",2008,"Pregabalin","KUWAIT",85113,2656.01,"Gabapentinoids","Western Asia",0.0877356237533648
"99",2008,"Pregabalin","LATVIA",66846,2171.248,"Gabapentinoids","Northern Europe",0.0842899446385822
"100",2008,"Pregabalin","LEBANON",279325,4764.745,"Gabapentinoids","Western Asia",0.160501804632918
"101",2008,"Pregabalin","LITHUANIA",150470,3212.867,"Gabapentinoids","Northern Europe",0.128223299607412
"102",2008,"Pregabalin","LUXEMBOURG",424844,485.403,"Gabapentinoids","Western Europe",2.3962758363841
"103",2008,"Pregabalin","MEXICO",8399470,110815.272,"Gabapentinoids","Central and South America and the Caribbean",0.207520995400277
"104",2008,"Pregabalin","MOROCCO",186849,31536.807,"Gabapentinoids","Northern Africa",0.0162211945465768
"105",2008,"Pregabalin","NETHERLANDS",0,16568.105,"Gabapentinoids","Western Europe",0
"106",2008,"Pregabalin","NEW ZEALAND",18676,4278.156,"Gabapentinoids","Australia and New Zealand",0.0119519020111654
"107",2008,"Pregabalin","NORWAY",4050537,4771.014,"Gabapentinoids","Northern Europe",2.32440439574432
"108",2008,"Pregabalin","PAKISTAN",2701389,171648.984,"Gabapentinoids","Southern Asia",0.0430879334537745
"109",2008,"Pregabalin","PERU",265960,28562.321,"Gabapentinoids","Central and South America and the Caribbean",0.0254936843313838
"110",2008,"Pregabalin","PHILIPPINES",894808,90901.967,"Gabapentinoids","South-eastern Asia",0.026950470578179
"111",2008,"Pregabalin","POLAND",60349,38356.786,"Gabapentinoids","Eastern Europe",0.00430762257173047
"112",2008,"Pregabalin","PORTUGAL",7015053,10595.312,"Gabapentinoids","Southern Europe",1.81270437131284
"113",2008,"Pregabalin","PUERTO RICO",1664651,3608.03,"Gabapentinoids","Central and South America and the Caribbean",1.26317299208993
"114",2008,"Pregabalin","ROMANIA",1910974,20829.521,"Gabapentinoids","Eastern Europe",0.251180124117544
"115",2008,"Pregabalin","RUSSIA",719036,143248.764,"Gabapentinoids","Eastern Europe",0.0137426196471497
"116",2008,"Pregabalin","SAUDI ARABIA",2417542,25888.535,"Gabapentinoids","Western Asia",0.255667973009091
"117",2008,"Pregabalin","SERBIA",0,9060.105,"Gabapentinoids","Southern Europe",0
"118",2008,"Pregabalin","SLOVAKIA",1603322,5399.362,"Gabapentinoids","Eastern Europe",0.812995387182081
"119",2008,"Pregabalin","SLOVENIA",795084,2023.049,"Gabapentinoids","Southern Europe",1.07601019809018
