"","Year","Drug","DDD/TID","DDD/TID - lower","DDD/TID - upper","Area"
"1",2008,"Gabapentin",0.20844874386428,0.14505027208443,0.299557375482235,"Multinational"
"2",2009,"Gabapentin",0.228861511936584,0.157366571328523,0.332838106617664,"Multinational"
"3",2010,"Gabapentin",0.250533715203582,0.169322766574442,0.370695233272806,"Multinational"
"4",2011,"Gabapentin",0.254692226466515,0.174750518253525,0.371204222286546,"Multinational"
"5",2012,"Gabapentin",0.27352022826498,0.189144201737163,0.395535864081566,"Multinational"
"6",2013,"Gabapentin",0.300934924995448,0.206016945240664,0.439584369995508,"Multinational"
"7",2014,"Gabapentin",0.303909796283042,0.207706393026942,0.444671745201507,"Multinational"
"8",2015,"Gabapentin",0.341053292937491,0.229252776453524,0.507375964744692,"Multinational"
"9",2016,"Gabapentin",0.365055751292519,0.242684146988868,0.549132290696591,"Multinational"
"10",2017,"Gabapentin",0.392923793519953,0.258678683003461,0.596837380342024,"Multinational"
"11",2018,"Gabapentin",0.413483976660566,0.271347119400103,0.63007486253407,"Multinational"
"12",2008,"Gabapentin Enacarbil",0,0,0,"Multinational"
"13",2009,"Gabapentin Enacarbil",0,0,0,"Multinational"
"14",2010,"Gabapentin Enacarbil",0,0,0,"Multinational"
"15",2011,"Gabapentin Enacarbil",0.00389656265230565,0.00388511099099598,0.00390804806826147,"Multinational"
"16",2012,"Gabapentin Enacarbil",0.00241231927936689,0.00179964091766532,0.00323358079296983,"Multinational"
"17",2013,"Gabapentin Enacarbil",0.00367278745477717,0.0017236648007473,0.00782598082998517,"Multinational"
"18",2014,"Gabapentin Enacarbil",0.0314871558468345,0.0163436943801298,0.0606619874468656,"Multinational"
"19",2015,"Gabapentin Enacarbil",0.0063487488819304,0.00473887746110319,0.00850551901724618,"Multinational"
"20",2016,"Gabapentin Enacarbil",0.0523459032873801,0.0488623977535694,0.0560777554304852,"Multinational"
"21",2017,"Gabapentin Enacarbil",0.0559992003825075,0.0521075970715652,0.060181444160116,"Multinational"
"22",2018,"Gabapentin Enacarbil",0.0546378689964832,0.0407236381937495,0.0733062383639157,"Multinational"
"23",2008,"Pregabalin",0.211157476422193,0.156361833412252,0.285155775395861,"Multinational"
"24",2009,"Pregabalin",0.302359900788388,0.225200974128589,0.405955213819647,"Multinational"
"25",2010,"Pregabalin",0.316584106163069,0.236669897941771,0.423482230510482,"Multinational"
"26",2011,"Pregabalin",0.360486291283574,0.276217521197717,0.470463878033163,"Multinational"
"27",2012,"Pregabalin",0.401338084720821,0.310293323484751,0.519096757991614,"Multinational"
"28",2013,"Pregabalin",0.513703810802826,0.399695364828789,0.660231837680641,"Multinational"
"29",2014,"Pregabalin",0.610282002867368,0.475536979484206,0.783207487728462,"Multinational"
"30",2015,"Pregabalin",0.698235038254753,0.542145489621974,0.899264455721214,"Multinational"
"31",2016,"Pregabalin",0.817807555070596,0.631399308428909,1.05924917592121,"Multinational"
"32",2017,"Pregabalin",0.969721618362455,0.752286046782964,1.25000326822597,"Multinational"
"33",2018,"Pregabalin",1.1191396847237,0.871024162245139,1.43793213576891,"Multinational"
"34",2008,"Gabapentinoids",0.416712560609102,0.298899625794516,0.580962112976258,"Multinational"
"35",2009,"Gabapentinoids",0.539210786560959,0.386296973716061,0.752654802202507,"Multinational"
"36",2010,"Gabapentinoids",0.645312928363406,0.460623165915373,0.904055215471863,"Multinational"
"37",2011,"Gabapentinoids",0.701338475226322,0.511663940497454,0.961325623913552,"Multinational"
"38",2012,"Gabapentinoids",0.814790040018288,0.601841150814974,1.10308643470792,"Multinational"
