"","Year","Drug","Income","DDD/TID","DDD/TID - lower","DDD/TID - upper"
"1","2008","Gabapentin","HIC","0.503959271946374","0.367594364041543","0.690910886087516"
"2","2008","Gabapentin","UMIC","0.0532423223909561","0.0208408277519775","0.136018824555255"
"3","2008","Gabapentin","LMIC","0.0280603583389573","0.0119883682981707","0.0656789723611375"
"4","2009","Gabapentin","HIC","0.538090642462959","0.385045417007093","0.751967240012278"
"5","2009","Gabapentin","UMIC","0.064274027923022","0.0236333415228962","0.174801801152287"
"6","2009","Gabapentin","LMIC","0.0274724141636525","0.0117173972796294","0.0644113638863599"
"7","2010","Gabapentin","HIC","0.588189603866758","0.409304502735536","0.845255812688855"
"8","2010","Gabapentin","UMIC","0.0756429479322969","0.0284002190184981","0.201472234005003"
"9","2010","Gabapentin","LMIC","0.0303042029771418","0.0125350684515842","0.073262042535057"
"10","2011","Gabapentin","HIC","0.629682958624251","0.44215008769435","0.896755738417684"
"11","2011","Gabapentin","UMIC","0.0769282123894463","0.0306845681511045","0.192864042677516"
"12","2011","Gabapentin","LMIC","0.0350983428313583","0.0149705176758426","0.0822879806952451"
"13","2012","Gabapentin","HIC","0.650633232358106","0.46661822162039","0.90721618538323"
"14","2012","Gabapentin","UMIC","0.0880005896235043","0.0349752459719399","0.221416706555756"
"15","2012","Gabapentin","LMIC","0.0389347517795355","0.0176699972927199","0.0857903298467741"
"16","2013","Gabapentin","HIC","0.698290339564817","0.495877214015365","0.983326889294089"
"17","2013","Gabapentin","UMIC","0.100428572188012","0.0413502727673462","0.243913702056335"
"18","2013","Gabapentin","LMIC","0.0444021512193794","0.0206256229101401","0.0955874662063839"
"19","2014","Gabapentin","HIC","0.765139027888463","0.544227219453514","1.07572299045602"
"20","2014","Gabapentin","UMIC","0.0910749105574218","0.0390747338686621","0.212276284745081"
"21","2014","Gabapentin","LMIC","0.0464239286458245","0.0213488454939096","0.100950711902779"
"22","2015","Gabapentin","HIC","0.82873231728888","0.581617670115148","1.18083973202366"
"23","2015","Gabapentin","UMIC","0.11147124155889","0.0462932762920551","0.268415603516336"
"24","2015","Gabapentin","LMIC","0.0475986805311308","0.0218995014462719","0.103455980213209"
"25","2016","Gabapentin","HIC","0.89859478253163","0.626289151344222","1.28929677523547"
"26","2016","Gabapentin","UMIC","0.11704588044993","0.0495147048187587","0.276680193902905"
"27","2016","Gabapentin","LMIC","0.0502041819106494","0.0217314091941186","0.115982348811494"
"28","2017","Gabapentin","HIC","0.956658874791867","0.660562138856962","1.38548086377112"
"29","2017","Gabapentin","UMIC","0.135634317456966","0.0595813134821176","0.30876573537672"
"30","2017","Gabapentin","LMIC","0.0454224415395","0.0202646358569191","0.101812744624515"
"31","2018","Gabapentin","HIC","0.999157206188364","0.689956848937667","1.44692399853013"
"32","2018","Gabapentin","UMIC","0.14306706895977","0.0649999179419682","0.314895570160774"
"33","2018","Gabapentin","LMIC","0.0493308918319836","0.0216593914267118","0.11235481371548"
"34","2008","Pregabalin","HIC","0.492893359104259","0.420427161660413","0.577850066797802"
"35","2008","Pregabalin","UMIC","0.0583489888319783","0.0406169403649725","0.0838222787615586"
"36","2008","Pregabalin","LMIC","0.0337011140629587","0.0277082228117503","0.0409901817522164"
"37","2009","Pregabalin","HIC","0.66328473586841","0.573246623353143","0.767464862265752"
"38","2009","Pregabalin","UMIC","0.0943348936681632","0.0635051240424049","0.14013156099721"
"39","2009","Pregabalin","LMIC","0.0600765764767289","0.0451583737948372","0.0799230516484383"
"40","2010","Pregabalin","HIC","0.784820806241439","0.662618177695604","0.929560520134745"
"41","2010","Pregabalin","UMIC","0.0782378879492895","0.0554139919229035","0.110462482458976"
"42","2010","Pregabalin","LMIC","0.0773213693318112","0.052689280221395","0.113468890260503"
"43","2011","Pregabalin","HIC","0.995987849898828","0.856774745717621","1.15782100500081"
"44","2011","Pregabalin","UMIC","0.0834107612322356","0.0578674446036702","0.120229174400069"
"45","2011","Pregabalin","LMIC","0.0963480866495377","0.0582009900629129","0.159498211129954"
"46","2012","Pregabalin","HIC","0.981812260083369","0.855187602716916","1.12718579056519"
"47","2012","Pregabalin","UMIC","0.106443509657666","0.0708989398003279","0.159808041984138"
"48","2012","Pregabalin","LMIC","0.119570781507155","0.0608045747422612","0.23513315981297"
"49","2013","Pregabalin","HIC","1.24609234382304","1.08780042095669","1.42741820964623"
"50","2013","Pregabalin","UMIC","0.142374501988949","0.0937341902324707","0.216255122771405"
"51","2013","Pregabalin","LMIC","0.136891561732618","0.062045305841941","0.302026066586459"
"52","2014","Pregabalin","HIC","1.44540385603851","1.25123925577606","1.66969849883363"
"53","2014","Pregabalin","UMIC","0.178593970861665","0.116021163871191","0.274913691294708"
"54","2014","Pregabalin","LMIC","0.155363805834826","0.0649636162906879","0.371560475566406"
"55","2015","Pregabalin","HIC","1.60000158023677","1.36779565374627","1.87162830189474"
"56","2015","Pregabalin","UMIC","0.21495432673808","0.135677202888394","0.340553619913797"
"57","2015","Pregabalin","LMIC","0.181561042994366","0.0679000460474224","0.485484388481553"
"58","2016","Pregabalin","HIC","1.89884688174826","1.60508289069235","2.24637587331694"
"59","2016","Pregabalin","UMIC","0.246338787680657","0.14150241941792","0.428846365776634"
"60","2016","Pregabalin","LMIC","0.208685434420694","0.0662985056033074","0.656871676715158"
"61","2017","Pregabalin","HIC","2.14396199715023","1.80845834631092","2.54170799930281"
"62","2017","Pregabalin","UMIC","0.308611521180666","0.171395122357213","0.555681338509437"
"63","2017","Pregabalin","LMIC","0.275877265087001","0.0704962307230045","1.07960758484989"
