"","Year","Drug","Country","DDD","Population","Class","Region","DDDPTPD","x","pt","rate","lower","upper","conf.level"
"34",2008,"Gabapentin","LUXEMBOURG",151610,485.403,"Gabapentinoids","Western Europe",0.855135954736781,151610,177293.44575,0.855135954736781,0.850831488217616,0.859440421255947,0.95
"35",2008,"Gabapentin","MEXICO",2883990,110815.272,"Gabapentinoids","Central and South America and the Caribbean",0.0712531237714339,2883990,40475278.098,0.0712531237714339,0.0711708890691048,0.071335358473763,0.95
"36",2008,"Gabapentin","MOROCCO",84840,31536.807,"Gabapentinoids","Northern Africa",0.00736533856392905,84840,11518818.75675,0.00736533856392904,0.00731577751652271,0.00741489961133538,0.95
"37",2008,"Gabapentin","NETHERLANDS",0,16568.105,"Gabapentinoids","Western Europe",0,0,6051500.35125,0,0,0,0.95
"38",2008,"Gabapentin","NEW ZEALAND",1523440,4278.156,"Gabapentinoids","Australia and New Zealand",0.974941400722304,1523440,1562596.479,0.974941400722304,0.973393247550616,0.976489553893991,0.95
"39",2008,"Gabapentin","NORWAY",1926487,4771.014,"Gabapentinoids","Northern Europe",1.1055163429304,1926487,1742612.8635,1.1055163429304,1.10395524475249,1.10707744110832,0.95
"40",2008,"Gabapentin","PAKISTAN",3399688,171648.984,"Gabapentinoids","Southern Asia",0.0542260038475006,3399688,62694791.406,0.0542260038475005,0.0541683622298384,0.0542836454651627,0.95
"41",2008,"Gabapentin","PERU",252304,28562.321,"Gabapentinoids","Central and South America and the Caribbean",0.0241846839056454,252304,10432387.74525,0.0241846839056454,0.0240903155389114,0.0242790522723794,0.95
"42",2008,"Gabapentin","PHILIPPINES",864824,90901.967,"Gabapentinoids","South-eastern Asia",0.0260473909121321,864824,33201943.44675,0.0260473909121321,0.0259924939323142,0.0261022878919501,0.95
"43",2008,"Gabapentin","POLAND",2059031,38356.786,"Gabapentinoids","Eastern Europe",0.146970594566484,2059031,14009816.0865,0.146970594566484,0.146769848474461,0.147171340658507,0.95
"44",2008,"Gabapentin","PORTUGAL",5068806,10595.312,"Gabapentinoids","Southern Europe",1.30979007479156,5068806,3869937.708,1.30979007479156,1.30864983300829,1.31093031657483,0.95
"45",2008,"Gabapentin","PUERTO RICO",4936503,3608.03,"Gabapentinoids","Central and South America and the Caribbean",3.7459246802909,4936503,1317832.9575,3.7459246802909,3.74262024365033,3.74922911693147,0.95
"46",2008,"Gabapentin","ROMANIA",454302,20829.521,"Gabapentinoids","Eastern Europe",0.0597138593967517,454302,7607982.54525,0.0597138593967517,0.0595402189446816,0.0598874998488219,0.95
"47",2008,"Gabapentin","RUSSIA",795204,143248.764,"Gabapentinoids","Eastern Europe",0.0151983852183925,795204,52321611.051,0.0151983852183925,0.0151649806195249,0.0152317898172601,0.95
"48",2008,"Gabapentin","SAUDI ARABIA",1001555,25888.535,"Gabapentinoids","Western Asia",0.105919788242405,1001555,9455787.40875,0.105919788242405,0.1057123504924,0.10612722599241,0.95
"49",2008,"Gabapentin","SERBIA",0,9060.105,"Gabapentinoids","Southern Europe",0,0,3309203.35125,0,0,0,0.95
"50",2008,"Gabapentin","SLOVAKIA",1179751,5399.362,"Gabapentinoids","Eastern Europe",0.598215530644155,1179751,1972116.9705,0.598215530644155,0.597136060592949,0.59929500069536,0.95
"51",2008,"Gabapentin","SLOVENIA",336096,2023.049,"Gabapentinoids","Southern Europe",0.454848448135439,336096,738918.64725,0.454848448135438,0.453310707338895,0.456386188931982,0.95
"52",2008,"Gabapentin","SOUTH AFRICA",936845,49779.472,"Gabapentinoids","Southern Africa",0.0515260953485158,936845,18181952.148,0.0515260953485158,0.0514217576020924,0.0516304330949393,0.95
"53",2008,"Gabapentin","SOUTH KOREA",11546006,49182.458,"Gabapentinoids","Eastern Asia",0.642734074318367,11546006,17963892.7845,0.642734074318367,0.642363339371587,0.643104809265147,0.95
"54",2008,"Gabapentin","SPAIN",30051223,46068.811,"Gabapentinoids","Southern Europe",1.78593201688735,30051223,16826633.21775,1.78593201688735,1.78529348595822,1.78657054781649,0.95
"55",2008,"Gabapentin","SWEDEN",4073395,9236.433,"Gabapentinoids","Northern Europe",1.20743015264117,4073395,3373607.15325,1.20743015264117,1.20625760136108,1.20860270392127,0.95
"56",2008,"Gabapentin","SWITZERLAND",1754050,7622.826,"Gabapentinoids","Western Europe",0.629993020064876,1754050,2784237.1965,0.629993020064876,0.629060704694208,0.630925335435545,0.95
"57",2008,"Gabapentin","TAIWAN",1471366,23019.042,"Gabapentinoids","Eastern Asia",0.175002094407726,1471366,8407705.0905,0.175002094407726,0.174719325939523,0.17528486287593,0.95
"58",2008,"Gabapentin","THAILAND",0,66530.98,"Gabapentinoids","South-eastern Asia",0,0,24300440.445,0,0,0,0.95
"59",2008,"Gabapentin","TUNISIA",245597,10414.425,"Gabapentinoids","Northern Africa",0.0645650566178433,245597,3803868.73125,0.0645650566178433,0.0643097076548585,0.0648204055808281,0.95
"60",2008,"Gabapentin","TÜRKIYE",30394128,70418.612,"Gabapentinoids","Western Asia",1.1817129719767,30394128,25720398.033,1.1817129719767,1.18129285981895,1.18213308413444,0.95
"61",2008,"Gabapentin","UNITED ARAB EMIRATES",259117,7089.486,"Gabapentinoids","Western Asia",0.100067012250156,259117,2589434.7615,0.100067012250156,0.0996817192929203,0.100452305207391,0.95
"62",2008,"Gabapentin","UNITED KINGDOM",38291888,62145.098,"Gabapentinoids","Northern Europe",1.68697900680073,38291888,22698497.0445,1.68697900680073,1.68644468317285,1.68751333042862,0.95
"63",2008,"Gabapentin","UNITED STATES",496158272,303486.022,"Gabapentinoids","Northern America",4.47601278828355,496158272,110848269.5355,4.47601278828355,4.47561893969672,4.47640663687038,0.95
"64",2008,"Gabapentin","URUGUAY",238704,3340.221,"Gabapentinoids","Central and South America and the Caribbean",0.195656495271295,238704,1220015.72025,0.195656495271295,0.194871598554208,0.196441391988383,0.95
"65",2008,"Gabapentin","VENEZUELA",4538485,27635.827,"Gabapentinoids","Central and South America and the Caribbean",0.449622684699728,4538485,10093985.81175,0.449622684699728,0.449209027246995,0.450036342152462,0.95
"66",2008,"Gabapentin Enacarbil","JAPAN",0,128538.644,"Gabapentinoids","Eastern Asia",0,0,46948739.721,0,0,0,0.95
"67",2008,"Gabapentin Enacarbil","PUERTO RICO",0,3608.03,"Gabapentinoids","Central and South America and the Caribbean",0,0,1317832.9575,0,0,0,0.95
"68",2008,"Gabapentin Enacarbil","UNITED STATES",0,303486.022,"Gabapentinoids","Northern America",0,0,110848269.5355,0,0,0,0.95
"69",2008,"Pregabalin","ALGERIA",899628,34730.604,"Gabapentinoids","Northern Africa",0.0709186407448047,899628,12685353.111,0.0709186407448047,0.0707720937178508,0.0710651877717586,0.95
"70",2008,"Pregabalin","ARGENTINA",1556305,40080.159,"Gabapentinoids","Central and South America and the Caribbean",0.106310228691149,1556305,14639278.07475,0.106310228691149,0.106143205880747,0.106477251501551,0.95
"71",2008,"Pregabalin","AUSTRALIA",4112052,21332.293,"Gabapentinoids","Australia and New Zealand",0.52775314894316,4112052,7791620.01825,0.52775314894316,0.527243055635955,0.528263242250365,0.95
"72",2008,"Pregabalin","AUSTRIA",2296639,8341.525,"Gabapentinoids","Western Europe",0.753801600295903,2296639,3046742.00625,0.753801600295903,0.752826703196143,0.754776497395663,0.95
"73",2008,"Pregabalin","BELARUS",2553,9452.855,"Gabapentinoids","Eastern Europe",0.000739430897813227,2553,3452655.28875,0.000739430897813227,0.000710748181493584,0.00076811361413287,0.95
"74",2008,"Pregabalin","BELGIUM",3749126,10778.764,"Gabapentinoids","Western Europe",0.952293562616032,3749126,3936943.551,0.952293562616032,0.951329613917299,0.953257511314765,0.95
"75",2008,"Pregabalin","BOSNIA AND HERZEGOVINA",0,3754.261,"Gabapentinoids","Southern Europe",0,0,1371243.83025,0,0,0,0.95
"76",2008,"Pregabalin","BRAZIL",0,192030.362,"Gabapentinoids","Central and South America and the Caribbean",0,0,70139089.7205,0,0,0,0.95
"77",2008,"Pregabalin","BULGARIA",51226,7524.084,"Gabapentinoids","Eastern Europe",0.0186400290615614,51226,2748171.681,0.0186400290615614,0.0184786119938968,0.0188014461292259,0.95
"78",2008,"Pregabalin","CANADA",19954160,33337.638,"Gabapentinoids","Northern America",1.63873375379983,19954160,12176572.2795,1.63873375379983,1.6380147357959,1.63945277180376,0.95
