"","Drug","Region","Country","expcoef","explower","expupper","p-value"
"52","Gabapentin","Northern Europe","ESTONIA",31.06261658184,24.741193884536,37.7043856192229,0.000000590718508486287
"53","Gabapentinoids","Northern Europe","ESTONIA",29.9700087113453,27.7495942332108,32.2290161923327,0.000000000072938460512122
"54","Pregabalin","Northern Europe","ESTONIA",29.2960262022187,25.8581394520305,32.8278207867241,0.00000000466252455573924
"55","Gabapentin","Northern Europe","FINLAND",14.3396011153344,12.0563553170497,16.6693700346027,0.000000110982721247507
"56","Gabapentinoids","Northern Europe","FINLAND",6.23443079852584,5.04888682417448,7.43335439599948,0.00000067307598883818
"57","Pregabalin","Northern Europe","FINLAND",3.51609357935692,1.4413060498512,5.63331691199078,0.00384103877263495
"58","Gabapentin","Western Europe","FRANCE",0.590729573559412,-0.338468251713586,1.52859080770589,0.184913265836247
"59","Gabapentinoids","Western Europe","FRANCE",5.49532481844657,4.77685592819004,6.21872034580908,0.0000000264777877272685
"60","Pregabalin","Western Europe","FRANCE",7.5222461733697,6.0431564508785,9.02196623619025,0.000000860258094801554
"61","Gabapentin","Western Europe","GERMANY",3.08905039203682,1.94688425451071,4.2440128351612,0.000163281624645605
"62","Gabapentinoids","Western Europe","GERMANY",7.00730310884556,5.87956444072644,8.14705348583682,0.000000154977993144065
"63","Pregabalin","Western Europe","GERMANY",9.37113299677623,8.02586113545456,10.7331578500374,0.0000000526080824840925
"64","Gabapentin","Southern Europe","GREECE",2.69095220172755,1.65569923125684,3.7367481001499,0.000221160217695585
"65","Gabapentinoids","Southern Europe","GREECE",6.43928180633102,5.24098478800603,7.65122289827447,0.000000555222760763627
"66","Pregabalin","Southern Europe","GREECE",7.94621466175023,6.01506250211175,9.91254435725637,0.00000509992811986662
"67","Gabapentin","Eastern Europe","HUNGARY",13.3740369748775,10.925381998111,15.87674550627,0.00000038712258172965
"68","Gabapentinoids","Eastern Europe","HUNGARY",11.536382119893,9.09264729526005,14.0348579379952,0.00000143729767538966
"69","Pregabalin","Eastern Europe","HUNGARY",10.5642538122298,8.00063364772834,13.1887268451439,0.00000467209963438004
"70","Gabapentin","Southern Asia","INDIA",14.0101696951271,12.7962950911418,15.237107596564,0.000000000504066907822803
"71","Gabapentinoids","Southern Asia","INDIA",14.8324419532352,12.6293523036906,17.0786252005378,0.0000000592763500410512
"72","Pregabalin","Southern Asia","INDIA",15.1420752439271,12.0414006673167,18.3285590193941,0.000000966132141592457
"73","Gabapentin","Northern Europe","IRELAND",3.66232363865697,2.6208435382804,4.7143735293615,0.00002089349828684
"74","Gabapentinoids","Northern Europe","IRELAND",14.0040828279152,10.4859771524019,17.634212380694,0.00000567539058153491
"75","Pregabalin","Northern Europe","IRELAND",16.5710492622732,11.9976891163257,21.3311598955706,0.0000116152600271345
"76","Gabapentin","Southern Europe","ITALY",0.118283681387621,-0.718950435471089,0.962578168473138,0.757412675840573
"77","Gabapentinoids","Southern Europe","ITALY",6.49530265105018,5.61081040003262,7.38720253902407,0.000000036551187978089
"78","Pregabalin","Southern Europe","ITALY",8.7375347667868,7.0879688284448,10.4125103549215,0.00000058358069991194
"79","Gabapentin","Eastern Asia","JAPAN",-4.27941048867047,-7.77148104050353,-0.655118831299151,0.0259504875426534
"80","Gabapentin Enacarbil","Eastern Asia","JAPAN",27.5352960671825,5.42980058459159,54.2756569087264,0.0218422644692759
"81","Gabapentinoids","Eastern Asia","JAPAN",50.2400399876201,30.7047203887383,72.6951371637418,0.000098048916165625
"82","Pregabalin","Eastern Asia","JAPAN",37.8672777262661,14.3624144246379,66.2030865934264,0.00479530674694452
"83","Gabapentin","Western Asia","JORDAN",6.54841793100653,-1.69160228189342,15.479100739219,0.108318710902847
"84","Gabapentinoids","Western Asia","JORDAN",24.0929285512129,17.9906807386452,30.5107727153982,0.00000467201104552898
"85","Pregabalin","Western Asia","JORDAN",33.2341908452499,20.2638582754504,47.6033603506306,0.000134836942179304
"86","Gabapentin","Central Asia","KAZAKHSTAN",2.91715354107667,-1.0827521482965,7.07880296949792,0.126262360179796
"87","Gabapentinoids","Central Asia","KAZAKHSTAN",17.8407914176726,10.8357069841673,25.2886141099554,0.00060365165179805
"88","Pregabalin","Central Asia","KAZAKHSTAN",29.8894587659236,16.6991900208435,44.5705963810993,0.00098530119660623
"89","Gabapentin","Western Asia","KUWAIT",50.0693775467945,32.0568925666393,70.5387552256522,0.0000518556436625569
"90","Gabapentinoids","Western Asia","KUWAIT",40.643225950455,34.358787298504,47.2216101638704,0.00000004034424349917
"91","Pregabalin","Western Asia","KUWAIT",37.9330363371432,31.5023803967637,44.6781606217364,0.0000000983964891459814
"92","Gabapentin","Northern Europe","LATVIA",22.4697239877882,20.2467817085453,24.7337606922343,0.00000000124481127753419
"93","Gabapentinoids","Northern Europe","LATVIA",20.4475364822448,19.1576087230202,21.7514282144112,0.0000000000233409378664211
"94","Pregabalin","Northern Europe","LATVIA",8.43819946235491,0.873576615193916,16.5701018760775,0.0320112428799129
"95","Gabapentin","Western Asia","LEBANON",5.26501150254894,2.13510314142242,8.49083523505847,0.00393360907476355
"96","Gabapentinoids","Western Asia","LEBANON",13.0184076672366,10.9259169402099,15.1503708418523,0.000000125724903595762
"97","Pregabalin","Western Asia","LEBANON",19.9931216479946,16.6183943801778,23.4655074729601,0.000000155685371773112
"98","Gabapentin","Northern Europe","LITHUANIA",10.5352364900737,8.62494979057002,12.4791176380107,0.000000388959534803779
"99","Gabapentinoids","Northern Europe","LITHUANIA",19.3661008660128,16.8312322297737,21.9559681432861,0.0000000167507251345536
"100","Pregabalin","Northern Europe","LITHUANIA",26.1829973825702,19.9235026396844,32.7692110218672,0.00000270697542442307
"101","Gabapentin","Western Europe","LUXEMBOURG",-2.5496780163752,-3.20319252048638,-1.89175137080807,0.0000114370266662144
"102","Gabapentinoids","Western Europe","LUXEMBOURG",3.1139674591788,2.36688017607887,3.86650708592355,0.00000528986684889635
"103","Pregabalin","Western Europe","LUXEMBOURG",4.49071749643406,3.37600660259512,5.6174483977939,0.00000672866219246192
"104","Gabapentin","Central and South America and the Caribbean","MEXICO",4.00823433885258,3.25901913631814,4.76288561297091,0.000000624972148602945
"105","Gabapentinoids","Central and South America and the Caribbean","MEXICO",3.83931918290623,1.93013678860139,5.78426114282691,0.00130413518825856
"106","Pregabalin","Central and South America and the Caribbean","MEXICO",3.76420316738046,0.976824236715768,6.62852531112246,0.013359945539285
"107","Gabapentin","Northern Africa","MOROCCO",26.9403349241836,17.8765471048275,36.7010573895916,0.0000464105681759627
"108","Gabapentinoids","Northern Africa","MOROCCO",20.5214929680004,17.9406370009427,23.1588249529266,0.000000011316939289385
"109","Pregabalin","Northern Africa","MOROCCO",18.3854167812209,12.7520924234062,24.3001935062446,0.0000262390462457247
"110","Gabapentin","Western Europe","NETHERLANDS",3.57014935733828,2.83809233949335,4.30741755194839,0.0000193467082254305
"111","Gabapentinoids","Western Europe","NETHERLANDS",7.94181078011835,6.7179823205064,9.17967395127555,0.00000327451167682118
"112","Pregabalin","Western Europe","NETHERLANDS",9.27089601164111,7.4567294445353,11.1156907241429,0.0000130018694356996
"113","Gabapentin","Australia and New Zealand","NEW ZEALAND",15.548972215794,14.6427850538961,16.4623222808959,0.0000000000135797857830561
"114","Gabapentinoids","Australia and New Zealand","NEW ZEALAND",16.7606626031825,15.917844698493,17.6096084860303,0.00000000000344791867677222
"115","Pregabalin","Australia and New Zealand","NEW ZEALAND",35.0005130829249,20.6234764355989,51.0911397283713,0.000195437023929591
